procps-ng 4.0.5-1
protobuf 29.2-1
protobuf-c 1.5.0-10
psmisc 23.7-1
pulsemixer 1.5.1-7
python 3.13.1-1
python-attrs 23.2.0-4
python-autocommand 2.2.2-7
python-cairo 1.27.0-2
python-cffi 1.17.1-2
python-charset-normalizer 3.4.1-1
python-cheetah3 3.3.3-3
python-cryptography 44.0.0-1
python-dbus 1.3.2-5
python-defusedxml 0.7.1-7
python-dnspython 1:2.7.0-1
python-filelock 3.16.1-2
python-gobject 3.50.0-2
python-idna 3.10-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-legacy-cgi 2.6.2-1
python-more-itertools 10.5.0-1
python-packaging 24.2-3
python-pip 24.3.1-3
python-platformdirs 4.3.6-2
python-psutil 6.1.1-1
python-pycparser 2.22-3
python-pymongo 4.10.1-2
python-pyqt5 5.15.11-2
python-pyqt5-sip 12.16.1-2
python-pyxdg 0.28-4
python-regex 2024.11.6-2
python-requests 2.32.3-4
python-setproctitle 1.3.4-1
python-setuptools 1:75.2.0-4
python-urllib3 2.3.0-1
python-wheel 0.45.0-3
python-yaml 6.0.2-2
qjackctl 1.0.3-1
qrencode 4.1.1-3
qt5-base 5.15.16+kde+r130-3
qt5-translations 5.15.16-3
qt6-base 6.8.1-1
qt6-svg 6.8.1-1
qt6-translations 6.8.1-1
raptor 2.0.16-5
rav1e 0.7.1-1
readline 8.2.013-1
ripgrep 14.1.1-1
rofi 1.7.8-1
rtkit 0.13-3
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 4.0.0-1
runc 1.2.4-1
rygel 1:0.44.1-1
sane 1.3.1-2
sbc 2.0-2
sdl2 2.30.11-1
sdl2_ttf 2.24.0-1
sed 4.9-3
semver 7.6.3-1
serd 0.32.4-1
shaderc 2024.4-1
shadow 4.16.0-1
shared-mime-info 2.4-1
simple-scan 46.0-2
slang 2.3.3-3
slop 7.6-5
smbclient 2:4.21.3-1
snappy 1.2.1-2
snapshot 47.1-1
sof-firmware 2024.09.2-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
soundtouch 2.3.3-1
spandsp 0.0.6-5
speech-dispatcher 0.11.5-3
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 2024.4.rc2-1
sqlite 3.48.0-2
sratom 0.6.16-1
srt 1.5.4-1
startup-notification 0.12-8
stow 2.4.1-1
sudo 1.9.16.p2-2
surfshark-client 3.1.4.5269-1
sushi 46.0-2
svt-av1 2.3.0-1
svt-hevc 1.5.1-3
swi-prolog 9.2.9-1
systemd 257.2-2
systemd-libs 257.2-2
systemd-sysvcompat 257.2-2
taglib 2.0.2-1
talloc 2.4.2-4
tar 1.35-2
tdb 1.4.12-2
tecla 47.0-1
telegram-cli-git r1365.7f8f739-1
telegram-cli-git-debug r1365.7f8f739-1
tevent 1:0.16.1-4
texinfo 7.1.1-1
tinysparql 3.8.2-2
tmux 3.5_a-1
totem 43.1-1
totem-pl-parser 3.26.6+r30+g51b8439-1
tpm2-tss 4.1.3-1
tree 2.2.1-1
tree-sitter 0.24.7-1
tree-sitter-c 0.23.4-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.4.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.3.0-1
twolame 0.4.0-4
tzdata 2025a-1
uchardet 0.0.8-3
udisks2 2.10.1-5
ufw 0.36.2-5
unibilium 2.1.2-1
unzip 6.0-21
upower 1.90.7-1
usbmuxd 1.1.1-4
